Brd4_mean,Brd4_variance,Cdc7_mean,Cdc7_variance,Group,Replicate
93.31697961344648,10207.684297387594,197.2737850162456,25539.476230728975,DMSO,1
89.08183841056334,12339.565267661,214.45521004283194,33816.41903572667,DMSO,1
85.90807779316609,13214.350023222518,150.18510345710445,37768.11815234931,DMSO,1
106.3789921107531,12350.419592464435,229.02181345839165,31170.06652825836,DMSO,1
100.55823835470525,14122.630300219264,339.17887992134047,73187.10915837409,DMSO,1
101.43291367938056,9508.394166666667,237.72504875250934,37278.27044166667,DMSO,1
107.54646508124969,12948.84396744985,249.57546931325692,41642.734816723445,DMSO,1
113.9095003003068,16346.39337548435,278.9037022688043,60790.537575502596,DMSO,1
101.83834003596971,18374.267393035272,175.8201262718892,33545.36703022655,DMSO,1
88.79428491683873,11102.830773704994,165.3745972474926,38600.61961275601,DMSO,1
123.70278945577806,25860.89457389761,308.1498003053043,98893.75065583888,DMSO,1
118.1935871228367,25632.880292684975,344.378536681353,89274.28861308847,DMSO,1
124.46253151377547,14161.417227879427,212.83966658690417,42655.04899539536,DMSO,1
123.36192131296835,29252.497650923604,303.191346462433,53605.980489919,DMSO,1
133.86315684047477,16424.40158535121,314.8960669895914,63741.68457654678,DMSO,1
104.06997661644348,8949.9947277373,197.55375504621566,33265.632705144504,DMSO,1
132.9586712551381,23904.283786481417,343.28277602523656,71587.91639717332,DMSO,1
134.8009841234847,20175.489841912346,342.2336322134588,70396.09702421853,DMSO,1
130.93144309114527,15147.68293901384,290.6159311054505,46103.674083044985,DMSO,1
127.36706860895802,16591.990946116843,254.34455579476287,44508.50430222178,DMSO,1
120.9599887781948,13657.967379587246,142.9645942070548,25761.33192597916,DMSO,1
137.8799286047537,22921.539543328134,363.8831830808675,70380.63912898196,DMSO,1
117.36434225080913,23199.106797959186,347.7600487525093,107795.30178571428,DMSO,1
132.05532747248398,25914.33521601269,331.38552767971237,85499.64828760587,DMSO,1
134.03143622992488,16380.302591129737,310.96028203400226,46852.83733664853,DMSO,1
134.62291367938056,21230.494400000003,288.64204875250925,64689.67657599999,DMSO,1
127.12667407871501,19049.678101666384,216.9468207990983,38720.748082092796,DMSO,1
131.55542829926358,28632.45561882288,309.0963060624508,82234.25425558291,DMSO,1
131.7111075119797,12458.71827999767,231.4549826732142,59890.2645888723,DMSO,1
133.85700694362927,15765.394406561252,295.1849192188306,56098.93185555317,DMSO,1
137.07999397135134,17574.273203154135,316.9826764897356,72927.92808287601,DMSO,1
134.7221052435282,21593.03257649933,131.39141957851984,26950.562816398517,DMSO,1
133.51126346781498,32425.02019769993,259.3950981178125,85752.93072147148,DMSO,1
129.7266125337177,18532.778761441226,217.12134171486605,55827.57517525132,DMSO,1
130.21624701271386,16029.232346832816,159.2250020235374,31815.40239322211,DMSO,1
134.2641985955817,12800.263839689773,229.15669679720202,49427.809499937575,DMSO,1
140.39819145715833,24221.676155478395,230.84338208584268,72792.57777777777,DMSO,1
126.74222103868792,19092.937276287925,215.4357341781947,59388.079975179535,DMSO,1
123.32644737701261,19482.843806092213,105.26323636635266,23115.24919293566,DMSO,1
119.1386892569383,10974.418902286267,152.08760650828492,36676.4114765437,DMSO,1
129.69675105455886,22424.95428784231,208.26111865265193,60215.31214222193,DMSO,1
124.17874080307652,15078.239982587103,88.37219480317992,23361.733231758102,DMSO,1
113.89081881772049,16999.95349482104,106.77091831772668,27571.043607148993,DMSO,1
80.32244100857517,6224.380074628959,227.9937419022741,22829.84592813923,DMSO,2
70.83948787195229,8806.306199780862,231.9294390673291,39118.561541271,DMSO,2
75.3868454974349,7869.6372319435595,234.2009762294913,23304.604108537947,DMSO,2
61.83622485283561,5560.077507436051,140.31599147339375,19366.68257584771,DMSO,2
59.08471839659458,6610.291788661166,197.811058243066,43009.623784320545,DMSO,2
74.91396994157057,10253.00274417478,229.47292418668974,34859.01509863889,DMSO,2
90.17178112866415,10182.136245736801,193.38728229261426,50644.939981346775,DMSO,2
86.92540907142828,8915.67818107391,226.8160177465469,31345.60313812454,DMSO,2
81.49432143602863,6662.968824559402,225.67400657470284,26969.839534526123,DMSO,2
84.0842826667471,20300.12426611797,185.24160122949127,51567.70898148148,DMSO,2
93.67399877879822,9507.410239892808,290.59413930055723,49692.21319152774,DMSO,2
87.89052179177818,11180.943027791542,253.76878243754493,53870.03840547723,DMSO,2
81.87572115207561,13773.534687511665,210.47143829670108,85619.26661993272,DMSO,2
96.97754595015121,7822.234517770607,214.86121893572874,39582.51080729852,DMSO,2
103.71516727035899,13061.099553005639,271.55716596778325,58284.95060484636,DMSO,2
90.91284512751295,8806.904876915602,198.89856921442538,29938.001815853968,DMSO,2
98.50171068722719,8839.094785156438,260.4946532941233,33012.4573874533,DMSO,2
119.19148713148579,15561.973728654533,208.64265976000183,67603.4208052307,DMSO,2
111.30372156672493,12974.553683800064,252.7128587145212,37095.199368478614,DMSO,2
93.94369051441643,8800.278410081934,261.32859974360724,46114.288928286776,DMSO,2
93.01419829666273,6860.685007677285,198.08967072756082,21547.987448010615,DMSO,2
112.9846999854743,21613.047930427285,280.37563878817673,71781.03004254005,DMSO,2
