Group,Replicate,Frame,Channel,Intensity_Max
XL413,1,8,Ch1,6596.321428571428
XL413,1,8,Ch2,2256.785714285714
XL413,1,9,Ch1,6357.103448275862
XL413,1,9,Ch2,2243.551724137931
XL413,1,10,Ch1,6215.967741935484
XL413,1,10,Ch2,2330.0967741935483
XL413,1,11,Ch1,6168.967741935484
XL413,1,11,Ch2,2285.6451612903224
XL413,1,12,Ch1,6050.354838709677
XL413,1,12,Ch2,2389.967741935484
XL413,1,13,Ch1,6380.806451612903
XL413,1,13,Ch2,2586.3548387096776
XL413,1,14,Ch1,6531.129032258064
XL413,1,14,Ch2,2721.5806451612902
XL413,1,15,Ch1,6782.5
XL413,1,15,Ch2,2996.9333333333334
XL413,1,16,Ch1,6938.933333333333
XL413,1,16,Ch2,3279.633333333333
XL413,1,17,Ch1,6942.933333333333
XL413,1,17,Ch2,3282.2
XL413,1,18,Ch1,6711.7
XL413,1,18,Ch2,3262.4333333333334
XL413,2,0,Ch1,5177.969696969697
XL413,2,0,Ch2,810.939393939394
XL413,2,1,Ch1,5814.114285714286
XL413,2,1,Ch2,1101.0285714285715
XL413,2,2,Ch1,6086.527777777777
XL413,2,2,Ch2,1784.5277777777778
XL413,2,3,Ch1,6204.285714285715
XL413,2,3,Ch2,2660.3142857142857
XL413,2,4,Ch1,6268.242424242424
XL413,2,4,Ch2,3150.3030303030305
XL413,2,5,Ch1,6192.605263157895
XL413,2,5,Ch2,3513.9210526315787
XL413,2,6,Ch1,5969.243243243243
XL413,2,6,Ch2,3798.5135135135133
XL413,2,7,Ch1,5927.027027027027
XL413,2,7,Ch2,3822.324324324324
XL413,2,8,Ch1,5568.589743589743
XL413,2,8,Ch2,3862.230769230769
XL413,2,9,Ch1,5402.081081081081
XL413,2,9,Ch2,3625.054054054054
XL413,2,10,Ch1,5433.542857142857
XL413,2,10,Ch2,3806.5142857142855
XL413,2,11,Ch1,5482.970588235294
XL413,2,11,Ch2,3651.3823529411766
XL413,2,12,Ch1,5559.25
XL413,2,12,Ch2,3913.027777777778
XL413,2,13,Ch1,5483.257142857143
XL413,2,13,Ch2,4065.1428571428573
XL413,2,14,Ch1,5584.416666666667
XL413,2,14,Ch2,4280.666666666667
XL413,2,15,Ch1,5537.083333333333
XL413,2,15,Ch2,4416.194444444444
XL413,2,16,Ch1,5348.472222222223
XL413,2,16,Ch2,4453.694444444444
XL413,2,17,Ch1,5394.828571428571
XL413,2,17,Ch2,4598.028571428571
XL413,2,18,Ch1,5230.363636363636
XL413,2,18,Ch2,4184.242424242424
XL413,3,0,Ch1,4809.3125
XL413,3,0,Ch2,736.59375
XL413,3,1,Ch1,5688.4473684210525
XL413,3,1,Ch2,910.6578947368421
XL413,3,2,Ch1,5921.4473684210525
XL413,3,2,Ch2,1292.2894736842106
XL413,3,3,Ch1,5905.763157894737
XL413,3,3,Ch2,1803.4736842105262
XL413,3,4,Ch1,5770.763157894737
XL413,3,4,Ch2,2440.1052631578946
XL413,3,5,Ch1,5735.666666666667
XL413,3,5,Ch2,2902.4871794871797
XL413,3,6,Ch1,5666.864864864865
XL413,3,6,Ch2,3075.135135135135
XL413,3,7,Ch1,5593.459459459459
XL413,3,7,Ch2,3029.810810810811
XL413,3,8,Ch1,5510.722222222223
XL413,3,8,Ch2,2972.777777777778
XL413,3,9,Ch1,5329.314285714286
XL413,3,9,Ch2,2731.542857142857
XL413,3,10,Ch1,5186.305555555556
XL413,3,10,Ch2,2713.5555555555557
XL413,3,11,Ch1,5155.055555555556
XL413,3,11,Ch2,2733.8611111111113
XL413,3,12,Ch1,5212.027777777777
XL413,3,12,Ch2,2838.972222222222
XL413,3,13,Ch1,5379.0
XL413,3,13,Ch2,3137.8285714285716
XL413,3,14,Ch1,5543.727272727273
XL413,3,14,Ch2,3551.6969696969695
XL413,3,15,Ch1,5444.96875
XL413,3,15,Ch2,3485.59375
XL413,3,16,Ch1,5368.575757575758
XL413,3,16,Ch2,3738.030303030303
XL413,3,17,Ch1,5343.71875
XL413,3,17,Ch2,3472.5
XL413,3,18,Ch1,5005.59375
XL413,3,18,Ch2,3132.375
