frame,instantaneous_MCP_ON,cumulative_MCP_ON,cumulative_MCP_off,total_nuclei,treatment,cycle,replicate
26,66,99,58,124,XL413,nc14,1
27,66,101,61,124,XL413,nc14,1
28,68,101,63,124,XL413,nc14,1
0,0,0,0,144,XL413,nc14,2
1,0,0,0,144,XL413,nc14,2
2,4,4,0,144,XL413,nc14,2
3,11,11,0,144,XL413,nc14,2
4,15,15,0,144,XL413,nc14,2
5,21,23,2,144,XL413,nc14,2
6,25,28,3,144,XL413,nc14,2
7,33,40,8,144,XL413,nc14,2
8,44,50,9,144,XL413,nc14,2
9,52,59,10,144,XL413,nc14,2
10,56,68,16,144,XL413,nc14,2
11,68,80,18,144,XL413,nc14,2
12,74,88,20,144,XL413,nc14,2
13,82,93,20,144,XL413,nc14,2
14,86,100,21,144,XL413,nc14,2
15,89,104,25,144,XL413,nc14,2
16,90,107,29,144,XL413,nc14,2
17,93,108,31,144,XL413,nc14,2
18,91,110,37,144,XL413,nc14,2
19,99,114,39,144,XL413,nc14,2
20,99,118,44,144,XL413,nc14,2
21,94,119,49,144,XL413,nc14,2
22,97,122,51,144,XL413,nc14,2
23,97,123,54,144,XL413,nc14,2
24,100,125,57,144,XL413,nc14,2
25,101,127,60,144,XL413,nc14,2
26,102,128,61,144,XL413,nc14,2
27,98,129,66,144,XL413,nc14,2
28,103,131,66,144,XL413,nc14,2
0,0,0,0,127,XL413,nc14,3
1,0,0,0,127,XL413,nc14,3
2,0,0,0,127,XL413,nc14,3
3,1,1,0,127,XL413,nc14,3
4,5,5,0,127,XL413,nc14,3
5,7,8,1,127,XL413,nc14,3
6,8,10,2,127,XL413,nc14,3
7,12,14,3,127,XL413,nc14,3
8,21,25,5,127,XL413,nc14,3
9,25,31,7,127,XL413,nc14,3
10,29,38,9,127,XL413,nc14,3
11,34,46,12,127,XL413,nc14,3
12,43,57,16,127,XL413,nc14,3
13,46,64,20,127,XL413,nc14,3
14,52,68,20,127,XL413,nc14,3
15,54,71,22,127,XL413,nc14,3
16,56,74,25,127,XL413,nc14,3
17,58,75,26,127,XL413,nc14,3
18,63,83,28,127,XL413,nc14,3
19,57,84,35,127,XL413,nc14,3
20,58,88,41,127,XL413,nc14,3
21,65,93,44,127,XL413,nc14,3
22,67,95,46,127,XL413,nc14,3
23,71,98,48,127,XL413,nc14,3
24,68,99,52,127,XL413,nc14,3
25,69,101,55,127,XL413,nc14,3
26,68,103,59,127,XL413,nc14,3
27,64,104,66,127,XL413,nc14,3
28,60,104,73,127,XL413,nc14,3
0,0,0,0,45,water,nc12,1
1,0,0,0,45,water,nc12,1
2,6,6,0,45,water,nc12,1
3,24,24,0,45,water,nc12,1
4,31,31,0,45,water,nc12,1
5,39,39,0,45,water,nc12,1
6,42,43,1,45,water,nc12,1
7,42,44,2,45,water,nc12,1
8,41,44,4,45,water,nc12,1
9,41,45,5,45,water,nc12,1
10,44,45,5,45,water,nc12,1
0,0,0,0,43,water,nc12,2
1,0,0,0,43,water,nc12,2
2,4,4,0,43,water,nc12,2
3,20,20,0,43,water,nc12,2
4,30,30,0,43,water,nc12,2
5,37,37,0,43,water,nc12,2
6,40,40,0,43,water,nc12,2
7,40,40,0,43,water,nc12,2
8,41,41,0,43,water,nc12,2
9,41,41,0,43,water,nc12,2
10,41,41,0,43,water,nc12,2
0,0,0,0,48,water,nc12,3
1,1,1,0,48,water,nc12,3
2,6,6,0,48,water,nc12,3
3,25,25,0,48,water,nc12,3
4,34,34,0,48,water,nc12,3
5,38,40,2,48,water,nc12,3
6,38,41,4,48,water,nc12,3
7,41,43,6,48,water,nc12,3
8,44,44,6,48,water,nc12,3
9,46,46,6,48,water,nc12,3
10,46,47,6,48,water,nc12,3
0,0,0,0,71,water,nc13,1
1,0,0,0,71,water,nc13,1
2,7,7,0,71,water,nc13,1
3,34,34,0,71,water,nc13,1
4,48,48,0,71,water,nc13,1
5,61,61,0,71,water,nc13,1
6,64,65,1,71,water,nc13,1
7,67,68,1,71,water,nc13,1
8,65,68,3,71,water,nc13,1
9,67,69,3,71,water,nc13,1
10,69,70,3,71,water,nc13,1
11,69,70,3,71,water,nc13,1
12,69,70,3,71,water,nc13,1
13,69,70,3,71,water,nc13,1
14,71,71,3,71,water,nc13,1
15,71,71,3,71,water,nc13,1
16,71,71,3,71,water,nc13,1
17,71,71,3,71,water,nc13,1
18,70,71,4,71,water,nc13,1
19,70,71,4,71,water,nc13,1
20,70,71,4,71,water,nc13,1
21,70,71,4,71,water,nc13,1
22,71,71,4,71,water,nc13,1
23,71,71,4,71,water,nc13,1
24,71,71,4,71,water,nc13,1
25,70,71,5,71,water,nc13,1
0,0,0,0,84,water,nc13,2
1,2,2,0,84,water,nc13,2
2,18,18,0,84,water,nc13,2
3,43,43,0,84,water,nc13,2
4,58,58,0,84,water,nc13,2
5,65,65,0,84,water,nc13,2
6,68,68,0,84,water,nc13,2
7,70,71,1,84,water,nc13,2
8,73,75,2,84,water,nc13,2
9,74,75,2,84,water,nc13,2
10,75,78,4,84,water,nc13,2
11,79,81,4,84,water,nc13,2
12,81,82,4,84,water,nc13,2
13,81,82,4,84,water,nc13,2
14,82,83,4,84,water,nc13,2
15,82,83,4,84,water,nc13,2
16,82,84,5,84,water,nc13,2
17,83,84,5,84,water,nc13,2
18,83,84,5,84,water,nc13,2
19,82,84,6,84,water,nc13,2
20,83,84,6,84,water,nc13,2
21,82,84,7,84,water,nc13,2
22,82,84,8,84,water,nc13,2
23,82,84,8,84,water,nc13,2
24,81,84,9,84,water,nc13,2
25,83,84,9,84,water,nc13,2
0,0,0,0,73,water,nc13,3
1,2,2,0,73,water,nc13,3
2,13,13,0,73,water,nc13,3
3,27,27,0,73,water,nc13,3
4,42,42,0,73,water,nc13,3
5,55,55,0,73,water,nc13,3
6,64,65,1,73,water,nc13,3
7,67,68,1,73,water,nc13,3
8,69,70,1,73,water,nc13,3
9,69,70,1,73,water,nc13,3
10,70,70,1,73,water,nc13,3
11,69,70,1,73,water,nc13,3
12,71,71,1,73,water,nc13,3
13,71,71,1,73,water,nc13,3
14,72,73,2,73,water,nc13,3
15,73,73,2,73,water,nc13,3
16,73,73,2,73,water,nc13,3
17,70,73,5,73,water,nc13,3
18,69,73,6,73,water,nc13,3
19,68,73,7,73,water,nc13,3
20,67,73,7,73,water,nc13,3
21,68,73,7,73,water,nc13,3
22,71,73,7,73,water,nc13,3
23,72,73,7,73,water,nc13,3
24,73,73,7,73,water,nc13,3
25,73,73,7,73,water,nc13,3
0,0,0,0,120,water,nc14,1
1,0,0,0,120,water,nc14,1
2,0,0,0,120,water,nc14,1
3,2,2,0,120,water,nc14,1
4,22,22,0,120,water,nc14,1
5,64,64,0,120,water,nc14,1
6,83,83,0,120,water,nc14,1
7,97,97,0,120,water,nc14,1
8,101,102,1,120,water,nc14,1
9,110,111,1,120,water,nc14,1
10,110,111,1,120,water,nc14,1
11,113,114,1,120,water,nc14,1
12,117,117,1,120,water,nc14,1
13,119,119,1,120,water,nc14,1
14,117,119,3,120,water,nc14,1
15,117,119,5,120,water,nc14,1
16,118,120,6,120,water,nc14,1
17,117,120,7,120,water,nc14,1
18,117,120,9,120,water,nc14,1
19,118,120,9,120,water,nc14,1
20,114,120,13,120,water,nc14,1
21,116,120,14,120,water,nc14,1
22,113,120,16,120,water,nc14,1
23,115,120,16,120,water,nc14,1
24,113,120,18,120,water,nc14,1
25,111,120,22,120,water,nc14,1
26,107,120,26,120,water,nc14,1
27,109,120,27,120,water,nc14,1
28,107,120,27,120,water,nc14,1
