Group,Replicate,Frame,Channel,Intensity_Mean,Intensity_Variance
M13,1,0,Ch1,74.48042939429524,7585.773940475048
M13,1,0,Ch2,12.134096664192498,10756.227995760111
M13,1,1,Ch1,87.5922300029981,8346.638937574875
M13,1,1,Ch2,22.95507520954243,10974.92736326239
M13,1,2,Ch1,98.86474940974344,9301.61182475659
M13,1,2,Ch2,49.20529739479281,12602.1417726301
M13,1,3,Ch1,108.65959823195749,10385.076853827006
M13,1,3,Ch2,90.90327442384142,16776.98594141818
M13,1,4,Ch1,114.54765924344582,11201.845815983452
M13,1,4,Ch2,166.75463718075343,27686.724457759046
M13,1,5,Ch1,107.5331663397098,9925.595706398723
M13,1,5,Ch2,240.01506736756824,32950.042274074905
M13,1,6,Ch1,86.19701678294507,7010.69560772535
M13,1,6,Ch2,251.41267790279994,26120.5251428787
M13,2,0,Ch1,68.57397078488899,5665.363573867204
M13,2,0,Ch2,19.52502954367378,8763.952746084491
M13,2,1,Ch1,78.80333593890052,6140.818622394729
M13,2,1,Ch2,32.97016557434961,8962.182335937801
M13,2,2,Ch1,88.39775045751489,6592.959830678796
M13,2,2,Ch2,56.071668598626104,10576.656789745131
M13,2,3,Ch1,95.31275826145259,7288.093160367017
M13,2,3,Ch2,94.24624040546712,14567.415825386264
M13,2,4,Ch1,101.22715309683187,8065.844996988619
M13,2,4,Ch2,153.29321078190605,23303.017001404613
M13,2,5,Ch1,101.00061109803411,8018.317907722054
M13,2,5,Ch2,240.25049932344905,34910.96216851812
M13,2,6,Ch1,91.940512924091,7280.457761117519
M13,2,6,Ch2,292.7568258650672,38081.48705135375
M13,3,0,Ch1,85.80582782538443,8709.689540149837
M13,3,0,Ch2,18.371452561123476,12358.026965440333
M13,3,1,Ch1,102.48618489674766,9736.416137506933
M13,3,1,Ch2,26.63110317846946,12464.734339546862
M13,3,2,Ch1,112.19439704036304,10822.016374769131
M13,3,2,Ch2,55.8216314448361,14834.420715749135
M13,3,3,Ch1,122.77740389523308,12502.56950127899
M13,3,3,Ch2,98.35527209559046,21238.334450359052
M13,3,4,Ch1,130.00688534553188,14660.297834039326
M13,3,4,Ch2,169.48909054205086,37343.20930648701
M13,3,5,Ch1,120.78850217061563,13250.911567223453
M13,3,5,Ch2,246.5223028339115,48412.99729397582
M13,3,6,Ch1,111.06891001787517,10265.168285434136
M13,3,6,Ch2,298.17265224173707,41646.45949740822
M13,4,0,Ch1,75.7890464450476,7302.945212583931
M13,4,0,Ch2,20.757077550188,9017.425596212464
M13,4,1,Ch1,73.85194567657513,7088.314671692176
M13,4,1,Ch2,22.83968851479051,9140.46648800107
M13,4,2,Ch1,82.41303694969386,7806.958708413236
M13,4,2,Ch2,31.29726939043826,9880.499137422725
M13,4,3,Ch1,89.32267480560242,8037.987469556392
M13,4,3,Ch2,51.07647496767635,11565.54966377005
M13,4,4,Ch1,90.42685427838356,7876.373023168442
M13,4,4,Ch2,69.20087118319117,15629.706203561049
M13,4,5,Ch1,96.04215001309137,8270.081776424482
M13,4,5,Ch2,97.97201215512018,20671.41777106093
M13,4,6,Ch1,95.90283722658316,8436.807528083724
M13,4,6,Ch2,138.53789153980665,28753.876366369568
M13,5,0,Ch1,97.619306553587,9305.316814968997
M13,5,0,Ch2,18.670179197894754,10496.739054452906
M13,5,1,Ch1,111.19502879156906,10151.805283855654
M13,5,1,Ch2,33.7780171020363,11015.138455503851
M13,5,2,Ch1,121.1009412331795,10770.089833016948
M13,5,2,Ch2,67.31249354505758,14509.942912312936
M13,5,3,Ch1,134.01347381488316,12581.472861310081
M13,5,3,Ch2,125.79422818601131,23903.62794895584
M13,5,4,Ch1,146.03963628220205,14486.768719070858
M13,5,4,Ch2,227.51190132087652,45224.958439494185
M13,5,5,Ch1,133.37337753385788,12764.796949656344
M13,5,5,Ch2,309.19754245425065,49072.91193166361
M13,5,6,Ch1,111.65319941235532,8629.678625848617
M13,5,6,Ch2,328.76510609576343,32612.569021622257
M13,6,0,Ch1,85.85981263643757,8092.975749019732
M13,6,0,Ch2,17.081089352444337,13010.920408989772
M13,6,1,Ch1,109.15550237923455,9344.872430157982
M13,6,1,Ch2,32.35699251991855,13595.062633664284
M13,6,2,Ch1,122.15960783990926,10149.834848355038
M13,6,2,Ch2,63.941298153195646,15684.391874604278
M13,6,3,Ch1,133.05590481930358,11855.971928477084
M13,6,3,Ch2,115.96779460995037,22079.511713555225
M13,6,4,Ch1,142.61704057547917,13310.293546122062
M13,6,4,Ch2,202.6638110718211,37738.054275544106
M13,6,5,Ch1,136.91458689526564,12343.869152787896
M13,6,5,Ch2,300.3506233424648,50849.40336781748
M13,6,6,Ch1,113.3736441394311,8937.643899360599
M13,6,6,Ch2,336.0682804277867,43688.32147705935
